BJD,measured_relative_flux,measured_relative_flux_error,parallax_shift_t,parallax_shift_u,true_relative_flux,true_relative_flux_error,Simulation_time,observatory_code
2458347.7960348,0.99350718,0.00644749,0.206161,-0.0754321,1.00000000044,0.00644749,113.796034815,0
2458347.8044666,0.99496074,0.00644749,0.206163,-0.0754313,1.00000000044,0.00644749,113.80446662,0
2458347.8128984,0.99692305,0.00644749,0.206164,-0.0754304,1.00000000044,0.00644749,113.812898426,0
2458347.8213302,1.0048449,0.00644749,0.206166,-0.0754296,1.00000000044,0.00644749,113.821330231,0
2458347.829762,0.98667546,0.00644749,0.206167,-0.0754287,1.00000000044,0.00644749,113.829762037,0
2458347.8381938,1.0078974,0.00644749,0.206169,-0.0754279,1.00000000044,0.00644749,113.838193843,0
2458347.8466256,0.99630528,0.00644749,0.206171,-0.075427,1.00000000044,0.00644749,113.846625648,0
2458347.8634893,1.0079701,0.00644749,0.206174,-0.0754253,1.00000000044,0.00644749,113.863489259,0
2458347.8719211,1.0048813,0.00644749,0.206175,-0.0754245,1.00000000044,0.00644749,113.871921065,0
2458347.8803529,1.0076794,0.00644749,0.206177,-0.0754236,1.00000000044,0.00644749,113.88035287,0
2458347.8887847,0.99946677,0.00644749,0.206178,-0.0754228,1.00000000044,0.00644749,113.888784676,0
2458347.8972165,1.0005569,0.00644749,0.20618,-0.0754219,1.00000000044,0.00644749,113.897216481,0
2458347.9056483,1.0003389,0.00644749,0.206182,-0.0754211,1.00000000044,0.00644749,113.905648287,0
2458347.9140801,1.0015381,0.00644749,0.206183,-0.0754202,1.00000000044,0.00644749,113.914080093,0
2458347.9225119,0.9992124,0.00644749,0.206185,-0.0754194,1.00000000044,0.00644749,113.922511898,0
2458347.9309437,0.99972115,0.00644749,0.206186,-0.0754185,1.00000000044,0.00644749,113.930943704,0
2458347.9393755,0.99325281,0.00644749,0.206188,-0.0754177,1.00000000044,0.00644749,113.939375509,0
2458347.9478073,0.99768617,0.00644749,0.206189,-0.0754168,1.00000000044,0.00644749,113.947807315,0
2458347.9562391,0.99899437,0.00644749,0.206191,-0.075416,1.00000000044,0.00644749,113.95623912,0
2458347.9646709,0.99786786,0.00644749,0.206192,-0.0754151,1.00000000044,0.00644749,113.964670926,0
2458347.9731027,0.99710474,0.00644749,0.206194,-0.0754143,1.00000000044,0.00644749,113.973102731,0
2458347.9815345,0.99121783,0.00644749,0.206196,-0.0754134,1.00000000044,0.00644749,113.981534537,0
2458347.9983981,1.0107682,0.00644749,0.206199,-0.0754117,1.00000000044,0.00644749,113.998398148,0
2458348.00683,1.0080064,0.00644749,0.2062,-0.0754109,1.00000000044,0.00644749,114.006829954,0
2458348.0152618,0.99841294,0.00644749,0.206202,-0.07541,1.00000000044,0.00644749,114.015261759,0
2458348.0236936,0.99830393,0.00644749,0.206203,-0.0754092,1.00000000044,0.00644749,114.023693565,0
2458348.0321254,0.99681403,0.00644749,0.206205,-0.0754083,1.00000000044,0.00644749,114.03212537,0
2458348.0405572,0.99423396,0.00644749,0.206206,-0.0754075,1.00000000044,0.00644749,114.040557176,0
2458348.048989,1.0020105,0.00644749,0.206208,-0.0754066,1.00000000044,0.00644749,114.048988981,0
2458348.0574208,1.0060078,0.00644749,0.20621,-0.0754058,1.00000000044,0.00644749,114.057420787,0
2458348.0658526,1.0051357,0.00644749,0.206211,-0.075405,1.00000000044,0.00644749,114.065852593,0
2458348.0742844,0.99946677,0.00644749,0.206213,-0.0754041,1.00000000044,0.00644749,114.074284398,0
2458348.0827162,0.99892169,0.00644749,0.206214,-0.0754033,1.00000000044,0.00644749,114.082716204,0
2458348.091148,1.0025192,0.00644749,0.206216,-0.0754024,1.00000000044,0.00644749,114.091148009,0
2458348.0995798,0.99913972,0.00644749,0.206217,-0.0754016,1.00000000044,0.00644749,114.099579815,0
2458348.1080116,0.99685037,0.00644749,0.206219,-0.0754007,1.00000000044,0.00644749,114.10801162,0
2458348.1164434,0.99350718,0.00644749,0.20622,-0.0753999,1.00000000044,0.00644749,114.116443426,0
2458348.133307,1.0045906,0.00644749,0.206223,-0.0753982,1.00000000044,0.00644749,114.133307037,0
2458348.1417388,0.99721376,0.00644749,0.206225,-0.0753973,1.00000000044,0.00644749,114.141738843,0
2458348.1501706,0.98961892,0.00644749,0.206227,-0.0753965,1.00000000044,0.00644749,114.150170648,0
