mass_bin,event_name,prm_file,param_err_key,matrix_key,ratio_mcmc_over_fisher,mcmc_fractional,fisher_fractional,ot_distance_scaled,ot_constrained,mc_constrained_for_matrix
m30,598_4_470,598_4_470_sampling.prm,u0_err,A1,17.673206519427005,0.027234701212779766,0.0015410164071156206,0.9982825728673117,True,True
m30,5_0_897,5_0_897_sampling.prm,alpha_err,A1,1.0852159760642839,0.010361695955026784,0.009548049589727933,0.9868307820435253,True,True
m30,5_0_897,5_0_897_sampling.prm,log_q_err,A1,2.250259053733067,0.0076942573206965,0.0034192762419651694,0.9660744410245329,True,True
m30,5_0_897,5_0_897_sampling.prm,log_rho_err,A2,0.9927155293991997,0.005711605548228237,0.005753516872738913,0.8970141195501043,True,True
m30,5_0_897,5_0_897_sampling.prm,log_s_err,A1,4.1446245748749275,0.05657384599996009,0.01364993257602043,0.9954795513954924,True,True
m30,5_0_897,5_0_897_sampling.prm,log_tE_err,A1,2.383726010497553,0.014015961173986862,0.005879854107503455,0.9691547580012658,True,True
m30,5_0_897,5_0_897_sampling.prm,piEE_err,D,1.540284762103448,8.56316104826042,5.559466183750577,0.46871269867109977,True,False
m30,5_0_897,5_0_897_sampling.prm,piEN_err,D,0.3076448822540455,14.319562237568197,46.54575149325403,0.1226239679718596,True,False
m30,5_0_897,5_0_897_sampling.prm,t0_err,A1,1.3801904990916998,3.739945050644181e-09,2.7097310502466365e-09,1.0170668482790237,True,True
m30,5_0_897,5_0_897_sampling.prm,u0_err,A1,65.42722954034994,0.02660750296538236,0.0004066732330301884,0.9795552912106127,True,True
m30,5_3_559,5_3_559_sampling.prm,alpha_err,A2,0.713941619810779,0.0038617584379611047,0.005409067535500471,0.9898632308163007,True,True
m30,5_3_559,5_3_559_sampling.prm,log_q_err,A2,0.9992862721604274,0.012861646241241928,0.012870832512724735,0.971106572639938,True,True
m30,5_3_559,5_3_559_sampling.prm,log_rho_err,A1,1.360973936117855,0.008078514081879484,0.00593583305858395,0.8766854654872592,True,True
m30,5_3_559,5_3_559_sampling.prm,log_s_err,A2,0.97195969788224,0.012410967295707205,0.012769014314841358,0.9925291890340283,True,True
m30,5_3_559,5_3_559_sampling.prm,log_tE_err,A1,1.3292568694616982,0.025336028519692175,0.01906029534378285,0.983414983972691,True,True
m30,5_3_559,5_3_559_sampling.prm,piEE_err,D,0.9253379758161983,8.616553950107546,9.311791124218455,0.6960398385492006,True,False
m30,5_3_559,5_3_559_sampling.prm,piEN_err,D,0.07407261862952423,24.22911209327505,327.09944027303084,0.0833435327986887,True,False
m30,5_3_559,5_3_559_sampling.prm,t0_err,A1,1.0088111084238438,7.856058586644115e-10,7.787442585677254e-10,1.0169439384128025,True,True
m30,5_3_559,5_3_559_sampling.prm,u0_err,A1,2.4494693961594796,0.05774704417553296,0.023575327891858736,1.0114388427877365,True,True
m30,5_3_59,5_3_59_sampling.prm,alpha_err,A1,2.860389523196517,0.04753715553947102,0.01661911958282791,0.9008278501874297,True,True
m30,5_3_59,5_3_59_sampling.prm,log_q_err,A1,1.2690315130995418,0.028049663882731134,0.02210320515541913,0.9052203672115317,True,True
m30,5_3_59,5_3_59_sampling.prm,log_rho_err,B,0.0037746644294813112,0.060118166809821204,15.926757976226838,0.11554516801991602,True,True
m30,5_3_59,5_3_59_sampling.prm,log_s_err,A1,1.082665049077447,0.03091865671552161,0.02855791524984371,0.9654668115254599,True,True
